SMILES,TPSA,ALOGP,XLOGP,MannholdLogP,n_acid,n_base,n_acid+n_base,TPSA_CDK,MolLogP,NumHDonors,NumHAcceptors,NumHDonors+NumHAcceptors
C[NH2+]CCCN1C2=CC=CC=C2SC2=C1C=CC=C2,45.150000000000006,0.01700000000000068,2.322000000000001,2.8899999999999997,0,2,2,19.85,2.872600000000002,1,2,3
CN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1,32.67,1.4976,1.255,2.78,0,0,0,32.67,3.1538000000000013,0,2,2
CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CC(O)C4(C)C(CCC54O)C4=CC(=O)OC4)C3)OC2C)OC1C,203.05999999999997,-3.6782000000000066,2.1739999999999995,4.43,0,0,0,203.05999999999997,2.2181000000000015,6,14,20
C[NH+](C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1,13.670000000000002,0.9949999999999999,1.763,3.11,0,3,3,13.670000000000002,1.9371000000000003,1,1,2
COC(=O)C1C(C)CC(NC2=CC(=CC=C2)[N+]([O-])=O)=CC1=O,98.53999999999999,0.4623000000000004,1.1260000000000001,2.34,0,0,0,98.53999999999999,2.2887000000000004,1,6,7
COC(=O)C1C(C)CC(NC2=CC(OC(F)(F)F)=CC=C2)=CC1=O,64.63,1.8867,2.4010000000000002,2.34,0,0,0,64.63,3.2791000000000015,1,5,6
COC(=O)C1C(C)CC(NC2=CC=C(Cl)C=C2)=CC1=O,55.4,0.6177000000000001,1.4860000000000004,2.5599999999999996,0,0,0,55.4,3.033900000000001,1,4,5
ClC1=CC2=C(C=C1)N(C1CC[NH+](CCCN3C(=O)NC4=C3C=CC=C4)CC1)C(=O)N2,69.12,-2.1790000000000025,1.0540000000000003,3.0,0,3,3,80.01999999999998,1.9360999999999995,3,4,7
COC1=C(OC)C=C2C(=O)C(CC3CC[NH+](CC4=CC=CC=C4)CC3)CC2=C1,39.97,-1.093299999999999,2.474,3.6599999999999997,0,3,3,39.97,2.944000000000001,1,3,4
COC1=CC=CC2=C1C(=O)C1=C(C(O)=C3CC(O)(CC(OC4CC([NH3+])C(O)C(C)O4)C3=C1O)C(=O)CO)C2=O,207.68999999999997,-4.1320000000000014,-1.7940000000000003,3.1099999999999994,0,1,1,207.68999999999997,-0.7154999999999991,6,11,17
C[NH+](C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1,26.03,-0.36060000000000136,0.7870000000000001,3.0,0,3,3,26.560000000000002,1.5062000000000002,1,2,3
CCOC1=C(C=CC=C1)C(N)=O,52.32,0.3248000000000001,0.4950000000000002,2.12,0,0,0,52.32,1.1842000000000001,1,2,3
CCOC(=O)C1=CC=C(N)C=C1,52.32,0.27270000000000005,0.601,2.12,0,0,0,52.32,1.4455,1,3,4
COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2=C1C=C1OCOC1=C2,160.83,-2.2403000000000004,0.12100000000000077,3.2200000000000006,0,0,0,160.83,1.3385999999999991,3,13,16
CCC(=O)N(C1CC[NH+](CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,24.750000000000004,-0.16419999999999724,2.91,3.55,0,3,3,24.750000000000004,2.7196000000000016,1,1,2
CC(C)(C([O-])=O)C1=CC=C(C=C1)C(O)CCC[NH+]1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,85.03,-0.6987000000000048,2.8890000000000002,4.430000000000001,1,3,4,85.03,2.758700000000001,3,4,7
CC(F)OC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1,62.21,-0.20339999999999897,1.2199999999999998,2.23,0,0,0,64.43,2.0693,0,5,5
OCC1COC2=C(C=CC=C2O1)N1CCN(CCNC(=O)C2=CC=C(F)C=C2)CC1,74.27000000000001,-0.15390000000000043,0.756,3.0,0,1,1,74.27000000000001,1.5097999999999996,2,6,8
CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1,62.21,-0.5597999999999979,0.9129999999999999,2.34,0,0,0,64.43,1.7737,0,5,5
CN1C2=C(C=C(C=C2)[N+]([O-])=O)C(=NCC1=O)C1=C(F)C=CC=C1,75.81,1.2519999999999998,0.589,2.4499999999999997,0,0,0,75.81,2.5477000000000007,0,4,4
CCOC(=O)C1=C2CN(CCF)C(=O)C3=CC(F)=CC=C3N2C=N1,62.21,-0.15919999999999918,1.541,2.34,0,0,0,64.43,2.1134,0,5,5
C[NH2+]CCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,25.84,1.2443999999999995,3.2150000000000003,2.7800000000000002,0,2,2,25.84,3.408800000000002,1,1,2
COCCCC\C(=N\OCC[NH3+])C1=CC=C(C=C1)C(F)(F)F,58.46,-0.15150000000000324,2.4430000000000005,2.34,0,1,1,58.46,2.484700000000001,1,3,4
COC1=CC=C2C[NH+](C)CCC34C=CC(O)CC3OC1=C24,43.13000000000001,-1.9012000000000022,1.038,2.89,0,3,3,43.13000000000001,0.4332000000000003,2,3,5
OC1=CC=C(O)C(=C1)C([O-])=O,80.59,-0.8360000000000003,-0.29400000000000004,1.79,1,0,1,80.59,-0.5387000000000002,2,4,6
CC1(C)C(O)CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C([O-])=O,77.43,1.0052999999999992,6.264,4.319999999999999,1,0,1,77.43,5.077900000000005,1,4,5
OC1(CC[NH+](CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,41.74,-0.5532000000000025,1.2320000000000002,3.2199999999999998,0,3,3,41.74,3.0085000000000006,2,2,4
CCC(O)(CC(N)=O)C1=CC=CC=C1,63.32,-0.37409999999999966,-0.023999999999999994,2.34,0,0,0,63.32,1.1596000000000002,2,2,4
CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,66.48,-0.48600000000000054,1.1799999999999997,2.2300000000000004,0,0,0,66.48,1.2012999999999998,1,3,4
OCCOCC[NH+]1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,37.14,0.7816000000000008,0.6410000000000001,3.2199999999999998,0,4,4,37.14,1.6388000000000014,2,3,5
CN1CN(C2=CC=CC=C2)C2(CC[NH+](CCCC(=O)C3=CSC(I)=C3)CC2)C1=O,70.36000000000001,-0.8080000000000016,2.837,3.11,0,3,3,45.06,2.669200000000001,1,4,5
I\C=C\C[NH+]1CCC(COC2=CC=C(C=C2)C#N)CC1,37.46,-0.9618999999999992,2.899000000000001,2.78,0,3,3,37.46,2.1806800000000006,1,2,3
CC(C)CC1=CC=C(C=C1)C(C)C([O-])=O,40.129999999999995,1.283500000000002,2.9189999999999996,2.6699999999999995,1,0,1,40.129999999999995,1.7384999999999997,0,2,2
COC1=CC=CN=C1CCCCNC1=NC=C(CC2=CC=C(C)N=C2)C(=O)N1,87.44,-1.5164999999999997,0.03599999999999989,3.0,0,0,0,92.78999999999999,2.902520000000001,2,6,8
C[NH+](C)CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,7.680000000000001,0.15589999999999749,2.4410000000000007,3.3299999999999996,0,3,3,7.680000000000001,2.4579000000000004,1,1,2
CC(C)(C)NC(=O)C1C[NH+](CC2=CC=CN=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(=O)NC1C(O)CC2=C1C=CC=C2,118.7,-0.4934000000000003,1.2459999999999998,4.43,0,4,4,119.23,1.4498000000000062,5,6,11
COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC([O-])=O)C2=C1,69.66999999999999,0.5862,0.9660000000000002,2.8899999999999997,1,0,1,71.36,2.59262,0,5,5
C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C([O-])=O,40.129999999999995,3.2093000000000007,5.773000000000002,3.44,1,0,1,40.129999999999995,4.267900000000004,0,2,2
CC(C)C1=NC(=NO1)C1=C2CN(C)C(=O)C3=C(Cl)C=CC=C3N2C=N1,69.86000000000001,-0.17259999999999798,1.9260000000000002,2.45,0,0,0,77.05,3.2847000000000017,0,6,6
NC1=NN=C(C(N)=N1)C1=CC=CC(Cl)=C1Cl,89.11999999999999,0.7585999999999997,1.0870000000000002,1.6800000000000002,0,0,0,90.71,2.0097999999999994,2,5,7
[NH3+]C(CC1=CC=C(O)C(O)=C1)C([O-])=O,108.23000000000002,-2.3746000000000005,-0.14400000000000007,1.9000000000000001,1,1,2,108.23000000000002,-1.999300000000001,3,4,7
C[NH+]1CCC23CCCCC2C1CC1=CC=C(O)C=C31,24.67,-1.5472000000000001,2.161,3.11,0,3,3,24.67,1.6632999999999993,2,1,3
CC[NH+](CC)CC(=O)NC1=C(C)C=CC=C1C,33.54,0.27430000000000265,1.1800000000000002,2.67,0,3,3,33.54,1.16664,2,1,3
